name,known
William E. Boeing Jr.,2
Keith Emerson,2
Grace Lee Whitney,2
Philippe Honoré,1
Seymour Papert,1
Oliver Sacks,3
Phife Dawg,2
Ed Sabol,1
Mario Cuomo,3
Chuck Bednarik,2
Helen Delich Bentley,1
"John Forbes Nash, Jr.",1
Garry Marshall,2
Fred Thompson,2
Garo Yepremian,1
Abe Vigoda,3
Alexis Arquette,1
Edgar Mitchell,2
Attrell Cordes,1
Camille Muffat,1
Chyna,3
Abu Sayyaf,1
Bill Dooley,1
Flip Saunders,2
Buddy Cianci,1
Solomon W. Golomb,1
Qandeel Baloch,1
Prince,3
Anton Yelchin,3
Andrew Smith,1
Wayne Dyer,1
Shawty Lo,1
Toots Thielemans,2
Cary Blanchard,1
Sir Christopher Lee,3
Muhammad Ali,3
Glenn Frey,3
Gene Wilder,3
Dusty Rhodes,2
John Saunders,1
Jihadi John,1
Alan Nunnelee,1
Jerry Tarkanian,1
Samuel Goldwyn Jr.,2
Maureen O'Hara,3
George Voinovich,1
Bob Simon,2
Dennis Green,1
Charb,1
LaVoy Finicum,2
Ahmed Zewail,1
Ronald Mulkearns,1
Alcides Ghiggia,1
Edward Albee,3
Sam Simon,2
Yogi Berra,3
George Pyne III,1
Carl Djerassi,1
Umberto Eco,3
Walt Williams,1
Dale Bumpers,1
Wes Craven,3
"Howard A. Anderson, Jr.",1
Ted Marchibroda,1
Marvin Minsky,1
Mike Oxley,1
Ann Mara,1
Nancy Reagan,3
Cabu,1
Sir Terry Wogan,1
Gene Amdahl,1
Henry Worsley,1
Marion Christopher Barry,2
Mark Takai,1
"John ""Hot Rod"" Williams",1
Julian Bond,1
B.B. King,3
James M. Nederlander,2
Roddy Piper,3
Sir Peter Shaffer,2
William Schallert,1
Beau Biden,2
Amber Rayne,1
Nathan Barksdale,2
Marni Nixon,2
Johan Cruyff,1
Ib Melchior,1
Joy Browne,1
Rudy Van Gelder,2
Ken Howard,2
Jean Lapierre,1
George Clayton Johnson,1
Pat Summitt,2
Lothar Späth,1
Natalie Cole,3
Leonard Nimoy,3
Blaze Starr,2
Sawyer Sweeten,1
"Frank Sinatra, Jr.",3
Ruth Rendell,1
Garry Shandling,3
Shimon Peres,1
Jeralean Talley,1
E. L. Doctorow,3
David Bowie,3
Peter Mondavi,1
Phyllis Schlafly,3
Ken Judge,1
Sarah Brady,2
Jim Perry,1
Pat Conroy,1
Merle Haggard,3
Nimr al-Nimr,1
Robert H. Scott,1
Morley Safer,3
Tim LaHaye,2
Guido Westerwelle,1
Rob Ford,3
Tignous,1
Kimbo Slice,2
Lee Kuan Yew,1
Ben E. King,3
"Earl Hamner, Jr.",2
Harve Bennett,1
John Imbrie,1
Susannah Mushatt Jones,1
Conrad Burns,2
Robert H. Schuller,1
Dave Mirra,1
Caroline Aherne,1
Arnold Palmer,3
Joe Garagiola Sr.,1
Derrick Todd Lee,2
Lawrence Phillips,1
Gordie Howe,2
Stuart Scott,1
Dick Van Patten,3
Percy Sledge,2
Paul Comi,1
Buckwheat Zydeco,3
Boutros Boutros-Ghali,2
Alvin Toffler,2
Paul Prudhomme,2
Islam Karimov,1
Brooks Thompson,1
"John Templeton, Jr.",1
Alan Rickman,3
Milt Pappas,1
C. B. Forgotston,1
The Lady Chablis,3
Scott Weiland,2
Hagan Beggs,1
Will Smith,1
Charles Kennedy,1
Sandy Berger,2
Omar Sharif,3
Dee Dowis,1
Frank Gifford,3
Zurlon Tipton,1
Elie Wiesel,3
Lemmy,2
Freddie Gray,3
Michael Cimino,2
João Havelange,1
John McLaughlin,2
Dean Smith,1
Ray Charles,3
Harper Lee,3
Colleen McCullough,3
Sylvia Anderson,2
Lindy Infante,1
Patty Duke,3
Lou Pearlman,3
Antonin Scalia,3
Georges Wolinski,2
Willie L. Williams,1
Jackie Collins,3
Roy Tarpley,1
Phil Walsh,1
Paul Couch,1
Darryl Dawkins,1
Günter Grass,3
Moses Malone,2
Janet Waldo,1
Ken Stabler,1
Imre Kertész,1
Mother Angelica,1
Vilmos Zsigmond,2
Malcolm Fraser,1
Ann Rule,3
Leon Brittan,1
Kenny Baker,2
Christina Grimmie,1
Tariq Aziz,1
Happy Rockefeller,2
Buddy Ryan,2
Abdullah of Saudi Arabia,1
Miss Cleo (Youree Dell Harris),3
Bruce Hyde,1
